from_date,to_date,chapter,ledger_account,characteristic,balance_in_rub,r_balance_in_rub,balance_in_val,r_balance_in_val,balance_in_total,r_balance_in_total,turn_deb_rub,r_turn_deb_rub,turn_deb_val,r_turn_deb_val,turn_deb_total,r_turn_deb_total,turn_cre_rub,r_turn_cre_rub,turn_cre_val,r_turn_cre_val,turn_cre_total,r_turn_cre_total,balance_out_rub,r_balance_out_rub,balance_out_val,r_balance_out_val,balance_out_total,r_balance_out_total
2018-01-01,2018-01-31,А,30102,А,3401354052.04000000,,0.00000000,,3401354052.04000000,,625440427.12000000,,0.00000000,,625440427.12000000,,787848410.30000000,,0.00000000,,787848410.30000000,,640418337.98000000,,0.00000000,,640418337.98000000,
2018-01-01,2018-01-31,А,30222,П,215769.47000000,,43368305.32796000,,43584074.79796000,,0.00000000,,5595511.51749600,,5595511.51749600,,0.00000000,,0.00000000,,,,215769.47000000,,37772793.81046400,,37988563.28046400,
2018-01-01,2018-01-31,А,30424,А,127251834.75000000,,0.00000000,,127251834.75000000,,4414156.66000000,,0.00000000,,4414156.66000000,,9299232.48000000,,0.00000000,,9299232.48000000,,44849531.51000000,,0.00000000,,44849531.51000000,
2018-01-01,2018-01-31,А,30221,А,69885.07000000,,21447412.80254200,,21517297.87254200,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,69885.07000000,,21447412.80254200,,21517297.87254200,
2018-01-01,2018-01-31,А,30232,П,86904.66000000,,4517213.06846400,,4604117.72846400,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,86904.66000000,,4517213.06846400,,4604117.72846400,
2018-01-01,2018-01-31,А,30220,П,0.00000000,,19371746155.46124784,,19371746155.46124784,,0.00000000,,251131748.61893800,,251131748.61893800,,0.00000000,,162558540.25700800,,162558540.25700800,,0.00000000,,18335979020.83747984,,18335979020.83747984,
2018-01-01,2018-01-31,А,30109,П,63891.96000000,,0.00000000,,63891.96000000,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,63891.96000000,,0.00000000,,63891.96000000,
2018-01-01,2018-01-31,А,30413,А,2916835.42000000,,0.00000000,,2916835.42000000,,2098780.35000000,,0.00000000,,2098780.35000000,,2382487.14000000,,0.00000000,,2382487.14000000,,-1906180.01000000,,0.00000000,,-1906180.01000000,
2018-01-01,2018-01-31,А,30204,А,5541.83000000,,0.00000000,,5541.83000000,,149647.04000000,,0.00000000,,149647.04000000,,,,0.00000000,,,,155188.87000000,,0.00000000,,155188.87000000,
2018-01-01,2018-01-31,А,30111,П,2058498154.94000000,,0.00000000,,2058498154.94000000,,262884223.89000000,,0.00000000,,262884223.89000000,,172294943.56000000,,0.00000000,,172294943.56000000,,566178464.42000000,,0.00000000,,566178464.42000000,
2018-01-01,2018-01-31,А,30202,А,129554.00000000,,0.00000000,,129554.00000000,,,,0.00000000,,,,93819.58000000,,0.00000000,,93819.58000000,,35734.42000000,,0.00000000,,35734.42000000,
2018-01-01,2018-01-31,А,30114,А,0.00000000,,24470376569.71527436,,24470376569.71527436,,0.00000000,,1464972651.18680107,,1464972651.18680107,,0.00000000,,2199251369.68591323,,2199251369.68591323,,0.00000000,,11995032130.10465280,,11995032130.10465280,
2018-01-01,2018-01-31,А,30126,П,67224.06000000,,0.00000000,,67224.06000000,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,67224.06000000,,0.00000000,,67224.06000000,
2018-01-01,2018-01-31,А,30236,П,39070.65000000,,64903749.27373500,,64942819.92373500,,0.00000000,,134845152.11511300,,134845152.11511300,,0.00000000,,249074167.07623700,,249074167.07623700,,39070.65000000,,1772922439.92182900,,1772961510.57182900,
2018-01-01,2018-01-31,А,30425,А,87620.47000000,,2207131.95162600,,2294752.42162600,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,87620.47000000,,2207131.95162600,,2294752.42162600,
2018-01-01,2018-01-31,А,30223,П,814660.67000000,,0.00000000,,814660.67000000,,6349676.77000000,,0.00000000,,6349676.77000000,,15781776.55000000,,0.00000000,,15781776.55000000,,161160356.93000000,,0.00000000,,161160356.93000000,
2018-01-01,2018-01-31,А,30110,А,7781670.41000000,,15170860.89437800,,22952531.30437800,,373332.34000000,,0.00000000,,373332.34000000,,1083668.65000000,,0.00000000,,1083668.65000000,,2425247.99000000,,15170860.89437800,,17596108.88437800,
2018-01-01,2018-01-31,А,30233,А,58966.57000000,,5801448.04154400,,5860414.61154400,,0.00000000,,0.00000000,,,,0.00000000,,0.00000000,,,,58966.57000000,,5801448.04154400,,5860414.61154400,
